id,name,npc_buy_max,npc_sell_max
3313,obsidian lance,500.0,3000.0
3314,naginata,2000.0,
3315,guardian halberd,11000.0,
3316,orcish axe,350.0,
3317,barbarian axe,185.0,590.0
3318,knight axe,2000.0,
3319,stonecutter axe,320.0,
3320,fire axe,8000.0,
3322,dragon hammer,2000.0,
3323,dwarven axe,1500.0,
3324,skull staff,6000.0,
3326,epee,8000.0,
3327,daramian mace,110.0,500.0
3328,daramian waraxe,1000.0,
3330,heavy machete,90.0,
3332,hammer of wrath,30000.0,
3333,crystal mace,12000.0,
3334,pharaoh sword,23000.0,
3336,studded club,10.0,
3337,bone club,5.0,
3338,bone sword,20.0,75.0
3339,djinn blade,15000.0,
3340,heavy mace,50000.0,
3341,arcane staff,42000.0,
3342,war axe,12000.0,
3344,beastslayer axe,1500.0,
3345,templar scytheblade,200.0,
3346,ripper lance,500.0,
3347,hunting spear,25.0,
3348,banana staff,1000.0,
3349,crossbow,160.0,500.0
3350,bow,130.0,400.0
3351,steel helmet,293.0,580.0
3352,chain helmet,17.0,52.0
3353,iron helmet,150.0,390.0
3354,brass helmet,30.0,120.0
3355,leather helmet,4.0,12.0
3356,devil helmet,1000.0,
3357,plate armor,400.0,1200.0
3358,chain armor,70.0,200.0
3359,brass armor,150.0,450.0
3360,golden armor,20000.0,
3361,leather armor,12.0,35.0
3362,studded legs,15.0,50.0
3363,dragon scale legs,180.0,
3364,golden legs,30000.0,
3365,golden helmet,420.0,
3366,magic plate armor,90000.0,
3367,viking helmet,66.0,265.0
3368,winged helmet,320.0,
3369,warrior helmet,5000.0,
3370,knight armor,5000.0,
3371,knight legs,5000.0,
3372,brass legs,49.0,195.0
3373,strange helmet,500.0,
3374,legion helmet,22.0,
3375,soldier helmet,16.0,200.0
3376,studded helmet,20.0,63.0
3377,scale armor,75.0,260.0
3378,studded armor,25.0,90.0
3379,doublet,3.0,16.0
3380,noble armor,900.0,8000.0
3381,crown armor,12000.0,
3382,crown legs,12000.0,
3383,dark armor,400.0,1500.0
3384,dark helmet,250.0,1000.0
3385,crown helmet,2500.0,
3386,dragon scale mail,40000.0,
3387,demon helmet,40000.0,
3388,demon armor,195.0,
3389,demon legs,84.0,
3390,horned helmet,155.0,
3391,crusader helmet,6000.0,
3392,royal helmet,30000.0,
3397,dwarven armor,30000.0,
3398,dwarven legs,40000.0,
3403,tribal mask,250.0,
3404,leopard armor,1000.0,
3405,horseman helmet,280.0,
3406,feather headdress,850.0,
3407,charmer's tiara,900.0,
3408,bonelord helmet,7500.0,
3409,steel shield,80.0,240.0
3410,plate shield,45.0,125.0
3411,brass shield,25.0,65.0
3412,wooden shield,5.0,15.0
3413,battle shield,95.0,
3414,mastermind shield,50000.0,
3415,guardian shield,2000.0,
3416,dragon shield,4000.0,
3417,shield of honour,520.0,
3418,bonelord shield,1200.0,7000.0
3419,crown shield,8000.0,
3420,demon shield,30000.0,
3421,dark shield,400.0,
3422,great shield,480.0,
3423,blessed shield,650.0,
3424,ornamented shield,1500.0,
3425,dwarven shield,100.0,500.0
3426,studded shield,16.0,50.0
3427,rose shield,49.0,
3428,tower shield,8000.0,
3429,black shield,800.0,
3430,copper shield,50.0,
3431,viking shield,85.0,260.0
3432,ancient shield,900.0,5000.0
3433,griffin shield,3000.0,
3434,vampire shield,15000.0,
3435,castle shield,5000.0,
3436,medusa shield,9000.0,
3439,phoenix shield,16000.0,
3440,scarab shield,2000.0,
3441,bone shield,80.0,
3442,tempest shield,35000.0,
3443,tusk shield,850.0,
3444,sentinel shield,120.0,
3445,salamander shield,280.0,
3453,scythe,10.0,50.0
3456,pick,15.0,100.0
3457,shovel,8.0,100.0
3459,wooden hammer,15.0,
3462,small axe,5.0,
3463,mirror,10.0,
3481,closed trap,75.0,280.0
3483,fishing rod,40.0,300.0
3492,worm,1.0,2.0
3509,inkwell,9.0,20.0
3550,patched boots,2000.0,
3552,leather boots,2.0,10.0
3554,steel boots,30000.0,
3556,crocodile boots,1000.0,
3557,plate legs,115.0,
3558,chain legs,25.0,80.0
3559,leather legs,9.0,10.0
3560,bast skirt,750.0,
3561,jacket,1.0,12.0
3562,coat,1.0,8.0
3567,blue robe,10000.0,
3568,simple dress,50.0,
3571,ranger's cloak,150.0,550.0
3574,mystic turban,150.0,
3575,wood cape,5000.0,
3577,meat,2.0,15.0
3578,fish,2.0,10.0
3579,salmon,2.0,10.0
3580,northern pike,100.0,
3582,ham,4.0,16.0
3590,cherry,1.0,1.0
3595,carrot,1.0,8.0
3598,cookie,1.0,7.0
3600,bread,2.0,10.0
3601,roll,1.0,8.0
3606,egg,1.0,3.0
3607,cheese,2.0,12.0
3658,red rose,10.0,11.0
3659,blue rose,250.0,
3661,grave flower,25.0,
3674,goat grass,50.0,
3723,white mushroom,2.0,10.0
3726,orange mushroom,150.0,
3727,wood mushroom,15.0,
3728,dark mushroom,100.0,
3731,fire mushroom,200.0,
3732,green mushroom,100.0,
3734,blood herb,500.0,
3735,stone herb,20.0,28.0
3736,star herb,15.0,21.0
3737,fern,20.0,24.0
3738,sling herb,10.0,
3739,powder herb,10.0,
3740,shadow herb,20.0,
3741,troll green,25.0,
4033,draken boots,40000.0,
4065,statue of Devovorga,1500.0,
5014,mandrake,5000.0,
5021,orichalcum pearl,40.0,80.0
5080,panda teddy,30000.0,
5460,helmet of the deep,5000.0,5000.0
5461,pirate boots,3000.0,
5479,cat's paw,2000.0,
5668,mysterious voodoo skull,4000.0,
5710,light shovel,300.0,
5741,skull helmet,40000.0,
5791,stuffed dragon,6000.0,
5803,arbalest,42000.0,
5804,nose ring,2000.0,
5809,soul stone,6000.0,
5810,pirate voodoo doll,500.0,
5875,sniper gloves,2000.0,
5876,lizard leather,150.0,
5877,green dragon leather,100.0,
5878,minotaur leather,80.0,
5879,spider silk,100.0,
5880,iron ore,500.0,
5881,lizard scale,120.0,
5882,red dragon scale,200.0,
5883,ape fur,120.0,
5884,spirit container,40000.0,
5885,flask of warrior's sweat,10000.0,
5886,spool of yarn,1000.0,
5887,piece of royal steel,10000.0,
5888,piece of hell steel,500.0,
5889,piece of draconian steel,3000.0,
5890,chicken feather,30.0,
5891,enchanted chicken wing,20000.0,
5892,huge chunk of crude iron,15000.0,
5893,perfect behemoth fang,250.0,
5894,bat wing,50.0,
5895,fish fin,150.0,
5896,bear paw,100.0,
5897,wolf paw,70.0,
5898,bonelord eye,80.0,
5899,turtle shell,90.0,
5901,wood,50.0,
5902,honeycomb,40.0,
5904,magic sulphur,8000.0,
5905,vampire dust,100.0,
5906,demon dust,300.0,
5909,white piece of cloth,100.0,
5910,green piece of cloth,200.0,
5911,red piece of cloth,300.0,
5912,blue piece of cloth,200.0,
5913,brown piece of cloth,100.0,
5914,yellow piece of cloth,150.0,
5917,bandana,150.0,
5918,pirate knee breeches,200.0,
5919,dragon claw,8000.0,
5920,green dragon scale,100.0,
5921,heaven blossom,50.0,
5922,holy orchid,90.0,
5925,hardened bone,70.0,
5930,behemoth claw,2000.0,
5944,soul orb,25.0,
5948,red dragon leather,200.0,
5954,demon horn,1000.0,
6087,music sheet,100.0,
6088,music sheet,250.0,
6089,music sheet,400.0,
6090,music sheet,800.0,
6095,pirate shirt,500.0,
6096,pirate hat,1000.0,
6131,tortoise shield,150.0,
6299,death ring,1000.0,
6491,bat decoration,2000.0,
6499,demonic essence,1000.0,
6525,skeleton decoration,3000.0,
6527,the avenger,42000.0,
6534,the Imperor's trident,50000.0,
6535,the Plasmother's remains,50000.0,
6536,Countess Sorrow's frozen tear,50000.0,
6537,Mr. Punish's handcuffs,50000.0,
6539,the Handmaiden's protector,50000.0,
6540,piece of Massacre's shell,50000.0,
6546,Dracola's eye,50000.0,
6553,ruthless axe,45000.0,
6561,ceremonial ankh,20000.0,
7158,rainbow trout,100.0,
7159,green perch,100.0,
7183,baby seal doll,20000.0,
7290,shard,2000.0,
7379,brutetamer's staff,1500.0,
7380,headchopper,6000.0,
7381,mammoth whopper,300.0,
7382,demonrage sword,36000.0,
7383,relic sword,25000.0,
7384,mystic blade,30000.0,
7386,mercenary sword,12000.0,
7387,diamond sceptre,3000.0,
7388,vile axe,30000.0,
7389,heroic axe,30000.0,
7390,the justice seeker,40000.0,
7391,thaian sword,16000.0,
7392,orcish maul,6000.0,
7393,demon trophy,40000.0,
7394,wolf trophy,3000.0,
7395,orc trophy,1000.0,
7396,behemoth trophy,20000.0,
7397,deer trophy,3000.0,
7398,cyclops trophy,500.0,
7399,dragon lord trophy,10000.0,
7400,lion trophy,3000.0,
7401,minotaur trophy,500.0,
7402,dragon slayer,15000.0,
7403,berserker,40000.0,
7404,assassin dagger,20000.0,
7406,blacksteel sword,6000.0,
7407,haunted blade,8000.0,
7408,wyvern fang,1500.0,
7410,queen's sceptre,20000.0,
7411,ornamented axe,20000.0,
7412,butcher's axe,18000.0,
7413,titan axe,4000.0,
7414,abyss hammer,20000.0,
7415,cranial basher,30000.0,
7416,bloody edge,30000.0,
7417,runed sword,45000.0,
7418,nightmare blade,35000.0,
7419,dreaded cleaver,15000.0,
7421,onyx flail,22000.0,
7422,jade hammer,25000.0,
7424,lunar staff,5000.0,
7425,taurus mace,500.0,
7426,amber staff,8000.0,
7427,chaos mace,9000.0,
7428,bonebreaker,10000.0,
7429,blessed sceptre,40000.0,
7430,dragonbone staff,3000.0,
7432,furry club,1000.0,
7434,royal axe,40000.0,
7436,angelic axe,5000.0,
7437,sapphire hammer,7000.0,
7438,elvish bow,2000.0,
7439,berserk potion,500.0,
7440,mastermind potion,500.0,
7441,ice cube,250.0,
7443,bullseye potion,500.0,
7449,crystal sword,600.0,
7451,shadow sceptre,10000.0,
7452,spiked squelcher,5000.0,
7453,executioner,55000.0,
7454,glorious axe,3000.0,
7456,noble axe,10000.0,
7457,fur boots,2000.0,
7459,pair of earmuffs,1500.0,
7460,norse shield,1500.0,
7461,krimhorn helmet,200.0,
7462,ragnir helmet,400.0,
7463,mammoth fur cape,6000.0,
7464,mammoth fur shorts,850.0,
7774,jagged sword,100.0,500.0
7786,orc tusk,700.0,
7991,magician's robe,150.0,450.0
7992,mage hat,25.0,150.0
8021,modified crossbow,10000.0,
8022,chain bolter,40000.0,
8025,the ironworker,50000.0,
8027,composite hornbow,25000.0,
8029,silkweaver bow,12000.0,
8031,spider fangs,10.0,
8039,dragon robe,50000.0,
8041,greenwood coat,50000.0,
8042,spirit cloak,350.0,1000.0
8043,focus cape,6000.0,
8044,belted cape,500.0,1300.0
8045,hibiscus dress,3000.0,
8046,summer dress,1500.0,
8049,lavos armor,16000.0,
8050,crystalline armor,16000.0,
8052,swamplair armor,16000.0,
8055,windborn colossus armor,50000.0,
8057,divine plate,55000.0,
8061,skullcracker armor,18000.0,
8063,paladin armor,15000.0,
8064,ethno coat,200.0,750.0
8072,spellbook of enlightenment,4000.0,
8073,spellbook of warding,8000.0,
8074,spellbook of mind control,13000.0,
8075,spellbook of lost souls,19000.0,
8082,underworld rod,4400.0,22000.0
8083,northwind rod,1500.0,7500.0
8084,springsprout rod,3600.0,18000.0
8092,wand of starstorm,3600.0,18000.0
8093,wand of draconia,1500.0,7500.0
8094,wand of voodoo,4400.0,22000.0
8095,ranger legs,36.0,
8143,gland,500.0,
8531,blood goblet,10000.0,
8775,gear wheel,500.0,
8923,velvet tapestry,800.0,
9013,flower wreath,500.0,
9014,leaf legs,500.0,
9015,flower dress,1000.0,
9017,coconut shoes,500.0,
9027,crystal of focus,2000.0,
9028,crystal of balance,1000.0,
9035,dracoyle statue,5000.0,
9040,dracoyle statue,5000.0,
9045,royal tapestry,1000.0,
9053,glob of mercury,20.0,
9054,glob of acid slime,25.0,
9055,glob of tar,30.0,
9056,black skull,4000.0,
9057,small topaz,200.0,
9058,gold ingot,5000.0,
9067,crystal of power,3000.0,
9103,batwing hat,8000.0,
9232,cocktail glass,50.0,52.0
9302,sacred tree amulet,3000.0,
9303,leviathan's amulet,3000.0,
9304,shockwave amulet,3000.0,
9394,claw of 'The Noxious Spawn',15000.0,
9606,egg of The Many,15000.0,
9613,sea serpent trophy,10000.0,
9615,midnight shard,1000.0,
9616,bejeweled ship's telescope,20000.0,
9631,scarab pincers,280.0,
9632,ancient stone,200.0,
9633,bloody pincers,100.0,
9634,cobra tongue,15.0,
9635,elvish talisman,45.0,
9636,fiery heart,375.0,
9637,hellhound slobber,500.0,
9638,cultish mask,280.0,
9639,cultish robe,150.0,
9640,poisonous slime,50.0,
9641,piece of scarab shell,45.0,
9642,spooky blue eye,95.0,
9643,thorn,100.0,
9644,wyvern talisman,265.0,
9645,black hood,190.0,
9646,book of prayers,120.0,
9647,demonic skeletal hand,80.0,
9648,frosty ear of a troll,30.0,
9649,gauze bandage,90.0,
9650,polar bear paw,30.0,
9651,scorpion tail,25.0,
9652,witch broom,60.0,
9653,witch hat,5000.0,
9654,war crystal,460.0,
9655,gear crystal,200.0,
9656,broken gladiator shield,190.0,
9657,cyclops toe,55.0,
9658,frost giant pelt,160.0,
9659,half-eaten brain,85.0,
9660,mystical hourglass,700.0,
9661,frosty heart,280.0,
9662,mutated bat ear,420.0,
9663,piece of dead brain,420.0,
9664,piece of hellfire armor,550.0,
9665,wyrm scale,400.0,
9666,sea serpent scale,520.0,
9667,boggy dreads,200.0,
9668,mutated rat tail,150.0,
9683,haunted piece of wood,115.0,
9684,tattered piece of robe,120.0,
9685,vampire teeth,275.0,
9686,swamp grass,20.0,
9688,bundle of cursed straw,800.0,
9689,bunch of troll hair,30.0,
9690,ghostly tissue,90.0,
9691,lion's mane,60.0,
9692,lump of dirt,10.0,
9693,pig foot,10.0,
9694,snake skin,400.0,
10196,orc tooth,150.0,
10244,bonebeast trophy,6000.0,
10272,crab pincers,35.0,
10273,terrorbird beak,95.0,
10274,skunk tail,50.0,
10275,carrion worm fang,35.0,
10276,elder bonelord tentacle,150.0,
10277,bony tail,210.0,
10278,stone wing,120.0,
10279,piece of crocodile leather,15.0,
10280,giant eye,380.0,
10281,tarantula egg,80.0,
10282,hydra head,600.0,
10283,half-digested piece of meat,55.0,
10289,red lantern,250.0,
10291,rotten piece of cloth,30.0,
10292,silky fur,35.0,
10293,striped fur,50.0,
10295,winter wolf fur,20.0,
10296,acorn,10.0,
10297,antlers,50.0,
10298,metal spike,320.0,
10299,badger fur,15.0,
10300,carniphila seeds,50.0,
10301,centipede leg,28.0,
10302,compass,45.0,
10303,dark rosary,48.0,
10304,hellspawn tail,475.0,
10305,lump of earth,130.0,
10306,essence of a bad dream,360.0,
10307,thick fur,150.0,
10308,mutated flesh,50.0,
10309,strand of medusa hair,600.0,
10310,shiny stone,500.0,
10311,sabretooth,400.0,
10312,scythe leg,450.0,
10313,winged tail,800.0,
10314,nettle blossom,75.0,
10315,sulphurous stone,100.0,
10316,unholy bone,480.0,
10317,werewolf fur,380.0,
10318,warwolf fur,30.0,
10319,wool,15.0,
10320,book of necromantic rituals,180.0,
10321,mammoth tusk,100.0,
10323,guardian boots,35000.0,
10328,bunch of ripe rice,75.0,
10384,Zaoan armor,14000.0,
10385,Zaoan helmet,45000.0,
10386,Zaoan shoes,5000.0,
10387,Zaoan legs,14000.0,
10388,drakinata,10000.0,
10389,traditional sai,16500.0,
10390,Zaoan sword,30000.0,
10391,drachaku,10000.0,
10392,twin hooks,500.0,1100.0
10397,weaver's wandtip,250.0,
10398,draken trophy,15000.0,
10404,bone shoulderplate,150.0,
10405,warmaster's wristguards,200.0,
10406,Zaoan halberd,500.0,1200.0
10407,shaggy tail,25.0,
10408,spiked iron ball,100.0,
10409,corrupted flag,700.0,
10410,cursed shoulder spikes,320.0,
10411,widow's mandibles,110.0,
10412,wailing widow's necklace,3000.0,
10413,zaogun flag,600.0,
10414,zaogun shoulderplates,150.0,
10415,high guard flag,550.0,
10416,high guard shoulderplates,130.0,
10417,legionnaire flags,500.0,
10418,broken halberd,100.0,
10419,lizard trophy,8000.0,
10420,petrified scream,250.0,
10421,disgusting trophy,3000.0,
10438,spellweaver's robe,12000.0,
10439,Zaoan robe,12000.0,
10444,dragon priest's wandtip,175.0,
10449,ghastly dragon head,700.0,
10450,undead heart,200.0,
10451,jade hat,9000.0,
10452,terramite shell,170.0,
10453,terramite eggs,50.0,
10454,terramite legs,60.0,
10455,lancer beetle shell,80.0,
10456,sandcrawler shell,20.0,
10457,beetle necklace,1500.0,
11443,girlish hair decoration,30.0,
11444,protective charm,60.0,
11445,bamboo stick,30.0,
11446,hair of a banshee,350.0,
11447,battle stone,290.0,
11448,black wool,300.0,
11449,blood preservation,320.0,
11450,small notebook,480.0,
11451,broken crossbow,30.0,
11452,broken shamanic staff,35.0,
11453,broken helmet,20.0,
11454,luminous orb,1000.0,
11455,cultish symbol,500.0,
11456,dirty turban,120.0,
11457,dragon's tail,100.0,
11458,geomancer's robe,80.0,
11463,geomancer's staff,120.0,
11464,elven scouting glass,50.0,
11465,elven astral observer,90.0,
11466,flask of embalming fluid,30.0,
11467,ghoul snack,60.0,
11469,hunter's quiver,80.0,
11470,jewelled belt,180.0,
11471,kongra's shoulderpad,100.0,
11472,minotaur horn,75.0,
11473,purple robe,110.0,
11474,miraculum,60.0,
11475,necromantic robe,250.0,
11476,nettle spit,25.0,
11477,orcish gear,85.0,
11478,shamanic hood,45.0,
11479,orc leather,30.0,
11480,skull belt,80.0,
11481,pelvis bone,30.0,
11482,piece of warrior armor,50.0,
11483,piece of archer armor,20.0,
11484,pile of grave earth,25.0,
11485,poison spider shell,10.0,
11486,noble turban,430.0,
11487,quara tentacle,140.0,
11488,quara eye,350.0,
11489,mantassin tail,280.0,
11490,quara pincers,410.0,
11491,quara bone,500.0,
11492,rope belt,66.0,
11493,safety pin,120.0,
11510,scroll of heroic deeds,230.0,
11511,banana sash,55.0,
11512,small flask of eyedrops,95.0,
11513,small pitchfork,70.0,
11514,colourful feather,110.0,
11515,trollroot,50.0,
11539,goblin ear,20.0,
11603,silver rune emblem,5000.0,
11605,silver rune emblem,5000.0,
11607,silver rune emblem,5000.0,
11609,silver rune emblem,5000.0,
11651,elite draken mail,50000.0,
11652,broken key ring,8000.0,
11657,twiceslicer,28000.0,
11658,draken sulphur,550.0,
11659,draken wristbands,430.0,
11660,broken draken mail,340.0,
11661,broken slicer,120.0,
11666,tentacle piece,5000.0,
11671,eye of corruption,390.0,
11672,tail of corruption,240.0,
11673,scale of corruption,680.0,
11674,cobra crown,50000.0,
11679,souleater trophy,7500.0,
11680,lizard essence,300.0,
11681,ectoplasmic sushi,300.0,
11684,downy feather,20.0,
11693,blade of corruption,60000.0,
11702,brimstone fangs,380.0,
11703,brimstone shell,210.0,
12039,panther head,750.0,
12040,panther paw,300.0,
12172,rabbit's foot,50.0,
12309,draptor scales,800.0,
12312,stampor horn,280.0,
12313,stampor talons,150.0,
12314,hollow stampor hoof,400.0,
12315,maxilla,250.0,
12316,cavebear skull,550.0,
12317,giant crab pincer,950.0,
12482,hieroglyph banner,500.0,
12483,pharaoh banner,1000.0,
12541,demonic finger,1000.0,
12544,white deer antlers,400.0,
12545,white deer skin,245.0,
12557,shimmer swimmer,3000.0,
12600,coal,20.0,
12601,slime mould,175.0,
12683,heavy trident,2000.0,
12730,eye of a deepling,150.0,
12737,broken ring of ending,4000.0,
12742,yielowax,600.0,
12805,yielocks,600.0,
12806,flintstone,800.0,
13987,deepling staff,4000.0,
13990,necklace of the deep,3000.0,
13991,deepling axe,40000.0,
13993,ornate chestplate,60000.0,
13994,depth lorica,30000.0,
13995,depth galea,35000.0,
13996,depth ocrea,16000.0,
13997,depth calcei,25000.0,
13998,depth scutum,36000.0,
13999,ornate legs,40000.0,
14000,ornate shield,42000.0,
14001,ornate mace,42000.0,
14008,spellsinger's seal,280.0,
14009,key to the Drowned Library,330.0,
14010,deepling guard belt buckle,230.0,
14011,deepling breaktime snack,90.0,
14012,deepling warts,180.0,
14013,deeptags,290.0,
14017,deepling scales,80.0,
14040,warrior's axe,11000.0,
14041,deepling ridge,360.0,
14042,warrior's shield,9000.0,
14043,guardian axe,9000.0,
14044,deepling claw,430.0,
14076,swarmer antenna,130.0,
14077,kollos shell,420.0,
14078,spitter nose,340.0,
14079,crawler head plating,210.0,
14080,waspoid claw,320.0,
14081,waspoid wing,190.0,
14082,spidris mandible,450.0,
14083,compound eye,150.0,
14086,calopteryx cape,15000.0,
14087,grasshopper legs,15000.0,
14088,carapace shield,32000.0,
14089,hive scythe,17000.0,
14112,bar of gold,10000.0,
14222,trophy of Obujos,3000.0,
14223,trophy of Tanjis,2000.0,
14224,trophy of Jaul,4000.0,
14225,dung ball,130.0,
14246,hive bow,28000.0,
14247,ornate crossbow,12000.0,
14250,deepling squelcher,7000.0,
16096,wand of defiance,6500.0,
16102,mucus plug,500.0,
16115,wand of everblazing,6000.0,
16117,muck rod,6000.0,
16118,glacial rod,6500.0,
16119,blue crystal shard,1500.0,
16120,violet crystal shard,1500.0,
16121,green crystal shard,1500.0,
16122,green crystal splinter,400.0,
16123,brown crystal splinter,400.0,
16124,blue crystal splinter,400.0,
16125,cyan crystal fragment,800.0,
16126,red crystal fragment,800.0,
16127,green crystal fragment,800.0,
16130,magma clump,570.0,
16131,blazing bone,610.0,
16132,eye of a weeper,650.0,
16133,pulverized ore,400.0,
16134,cliff strider claw,800.0,
16135,vein of ore,330.0,
16137,stone nose,590.0,
16138,crystalline spikes,440.0,
16139,humongous chunk,540.0,
16140,hideous chunk,510.0,
16163,crystal crossbow,35000.0,
16164,mycological bow,35000.0,
16165,pet pig,1500.0,
16232,statue of Abyssador,4000.0,
16236,statue of Deathstrike,3000.0,
16240,statue of Gnomevil,2000.0,
17458,damselfly wing,20.0,
17461,marsh stalker beak,65.0,
17462,marsh stalker feather,50.0,
17463,damselfly eye,25.0,
17809,bola,35.0,
17810,spike shield,250.0,
17812,ratana,500.0,
17813,life preserver,300.0,
17817,cheese cutter,50.0,
17818,cheesy figurine,150.0,
17819,earflap,40.0,
17822,swampling moss,20.0,
17823,piece of swampling wood,30.0,
17824,swampling club,40.0,
17826,lost basher's spike,280.0,
17827,bloody dwarven beard,110.0,
17828,pair of iron fists,4000.0,
17829,buckle,7000.0,
17830,bonecarving knife,190.0,
17831,bone fetish,150.0,
17846,leather harness,750.0,
17847,wimp tooth chain,120.0,
17848,lost husher's staff,250.0,
17849,skull shatterer,170.0,
17850,holy ash,160.0,
17851,broken throwing axe,230.0,
